"iWine","Type","Color","Category","Size","Quantity","Vintage","Wine","Locale","Producer","Varietal","BeginConsume","EndConsume","CScore"
"4660253","Red","Red","Dry","750ml","1","2020","Ridge Syrah/Grenache Lytton Estate","USA, California, Sonoma County, Dry Creek Valley","Ridge","Red Rhone Blend","2026","2031","90"
"4938255","Red","Red","Dry","750ml","1","2021","Ridge Syrah/Grenache/Mataro Lytton Estate","USA, California, Sonoma County, Dry Creek Valley","Ridge","Red Rhone Blend","2024","2031","89.7826086956522"
"4973249","Red","Red","Dry","750ml","1","2023","Ridge Three Valleys","USA, California, Sonoma County","Ridge","Zinfandel Blend","2025","2032","90.2151898734177"
"4531358","Red","Red","Dry","750ml","1","2021","Ridge Zinfandel Benito Dusi","USA, California, Central Coast, Paso Robles","Ridge","Zinfandel","2023","2031","91.16"
"4145613","Red","Red","Dry","750ml","1","2015","La Rioja Alta Rioja 904 Gran Reserva 'Selección Especial'","Spain, La Rioja, La Rioja Alta, Rioja","La Rioja Alta","Tempranillo Blend","2023","2085","93.625"
"4864061","Red","Red","Dry","750ml","1","2016","La Rioja Alta Rioja Gran Reserva 904","Spain, La Rioja, La Rioja Alta, Rioja","La Rioja Alta","Tempranillo Blend","2026","2042","93.5769230769231"
"2441588","Red","Red","Dry","750ml","1","2014","Domaine Joseph Roty Marsannay Champs Saint Etienne","France, Burgundy, Côte de Nuits, Marsannay","Domaine Joseph Roty","Pinot Noir","2019","2040","90"
"3603379","Red","Red","Dry","750ml","1","2018","Roger Sabon Châteauneuf-du-Pape Cuvée Prestige","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Roger Sabon","Red Rhone Blend","2022","2031","91.7727272727273"
"3296981","White","White","Dry","750ml","1","2018","Domaine Saint Préfert Châteauneuf-du-Pape Blanc","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Domaine Saint Préfert","White Rhone Blend","2021","2028","91.5333333333333"
"5174029","Red","Red","Dry","750ml","1","2018","San Biagio Barolo Pria Capalot","Italy, Piedmont, Langhe, Barolo","San Biagio","Nebbiolo","2026","2032",""
"4549625","Red","Red","Dry","750ml","1","2018","San Filippo Brunello di Montalcino Le Lucere","Italy, Tuscany, Montalcino, Brunello di Montalcino","San Filippo","Sangiovese","2026","2038","91.9166666666667"
"4881579","Red","Red","Dry","750ml","1","2022","Tenuta San Guido Guidalberto Toscana IGT","Italy, Tuscany, Toscana IGT","Tenuta San Guido","Red Bordeaux Blend","2026","2035","90.1333333333333"
"5641990","White - Sparkling","White","Sparkling","750ml","1","2023","Schramsberg Vineyards Blanc de Blancs","USA, California, North Coast","Schramsberg Vineyards","Chardonnay","2027","2032","90.2222222222222"
"4857993","Red","Red","Dry","750ml","1","2019","Podere Scopetone Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Podere Scopetone","Sangiovese","2026","2036","86.75"
"5844589","Red","Red","Dry","750ml","1","2022","Sean Minor Pinot Noir Invited Series Roberts Road Vineyard","USA, California, Sonoma County, Sonoma Coast","Sean Minor","Pinot Noir","9999","9999",""
"4516095","Red","Red","Dry","750ml","1","2020","Domaine Serguier Châteauneuf-du-Pape","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Domaine Serguier","Red Rhone Blend","2024","2031","90.25"
"4156469","Red","Red","Dry","750ml","1","2019","Domaine Serguier Châteauneuf-du-Pape Revelation","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Domaine Serguier","Red Rhone Blend","2023","2029",""
"3810896","White","White","Dry","750ml","1","2019","Château Simone Palette Blanc","France, Provence, Palette","Château Simone","White Rhone Blend","2023","2034","91.6"
"4310644","Rosé","Rosé","Dry","750ml","1","2021","Château Simone Palette Rosé","France, Provence, Palette","Château Simone","Rosé Blend","2024","2031","92.8214285714286"
"3978925","Red","Red","Dry","750ml","1","2020","Château Smith Haut Lafitte","France, Bordeaux, Graves, Pessac-Léognan","Château Smith Haut Lafitte","Red Bordeaux Blend","2029","2053","95.2368421052632"
"4407584","Red","Red","Dry","750ml","1","2019","Spring Mountain Vineyard Elivette","USA, California, Napa Valley, Spring Mountain District","Spring Mountain Vineyard","Red Bordeaux Blend","2027","2039","92.0769230769231"
"2301597","Red","Red","Dry","750ml","3","2013","Spring Mountain Vineyard Elivette","USA, California, Napa Valley, Spring Mountain District","Spring Mountain Vineyard","Red Bordeaux Blend","2022","2034","92.1932773109244"
"733643","Red","Red","Dry","750ml","2","2004","Spring Mountain Vineyard Elivette","USA, California, Napa Valley, Spring Mountain District","Spring Mountain Vineyard","Red Bordeaux Blend","2015","2026","92.4216216216216"
"4938867","Red","Red","Dry","750ml","2","2020","Stag's Leap Wine Cellars Cabernet Sauvignon Fay Hillside","USA, California, Napa Valley, Stags Leap District","Stag's Leap Wine Cellars","Cabernet Sauvignon","2026","2035","90.2857142857143"
"4427342","White - Sparkling","White","Sparkling","750ml","1","2012","Taittinger Champagne Comtes de Champagne Blanc de Blancs Brut","France, Champagne","Taittinger","Chardonnay","2030","2080","94.2107623318386"
"3550425","Red","Red","Dry","750ml","1","2015","Tassi Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Tassi","Sangiovese","2024","2030","91.3684210526316"
"4319387","Red","Red","Dry","750ml","1","2015","Terre Nere Brunello di Montalcino Capriolo Riserva","Italy, Tuscany, Montalcino, Brunello di Montalcino","Terre Nere","Sangiovese","2021","2030","93.8333333333333"
"4321632","Red","Red","Dry","750ml","1","2020","Tenuta delle Terre Nere Etna Rosso Vecchie Vigne Calderara Sottana","Italy, Sicily, Etna DOC","Tenuta delle Terre Nere","Nerello Blend","2024","2032","92.5"
"3634318","Red","Red","Dry","750ml","1","2019","Tertre Rôteboeuf","France, Bordeaux, Libournais, Saint-Émilion Grand Cru","Tertre Rôteboeuf","Red Bordeaux Blend","2025","2045","96"
"3612059","Red","Red","Dry","750ml","1","2017","The Debate Cabernet Sauvignon Sacrashe","USA, California, Napa Valley, Rutherford","The Debate","Cabernet Sauvignon","2023","2033","92.7777777777778"
"4923133","Red","Red","Dry","750ml","1","2022","Domaine Tollot-Beaut Corton-Bressandes","France, Burgundy, Côte de Beaune, Corton Grand Cru","Domaine Tollot-Beaut","Pinot Noir","2031","2043","92.1666666666667"
"5693807","White - Sparkling","White","Sparkling","750ml","1","1001","Totus Tuus Cava Brut Reserva","Spain, Cava","Totus Tuus","Macabeo-Xarello-Parellada Blend","9999","9999",""
"5819149","Red","Red","Dry","750ml","1","1988","Château Tour des Termes","France, Bordeaux, Médoc, Saint-Estèphe","Château Tour des Termes","Red Bordeaux Blend","1994","2003",""
"34117","Red","Red","Dry","750ml","1","1989","Château TrotteVieille","France, Bordeaux, Libournais, Saint-Émilion Grand Cru","Château TrotteVieille","Red Bordeaux Blend","1998","2013","90.0555555555556"
"3834953","Red","Red","Dry","750ml","1","2019","Domaine Raymond Usseglio & Fils Châteauneuf-du-Pape Cuvée Impériale","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Domaine Raymond Usseglio & Fils","Red Rhone Blend","2024","2035","91.4090909090909"
"3019169","Red","Red","Dry","750ml","1","2015","Tenuta Valleselle (Tinazzi) Amarone della Valpolicella Classico Aureum Acinum","Italy, Veneto, Valpolicella, Amarone della Valpolicella Classico","Tenuta Valleselle (Tinazzi)","Corvina Blend","2019","2027","89.6666666666667"
"4849301","Red","Red","Dry","750ml","2","2022","Domaine de la Vieille Julienne Châteauneuf-du-Pape Les Trois Sources","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Domaine de la Vieille Julienne","Red Rhone Blend","2026","2042","92.75"
"4852575","Red","Red","Dry","750ml","1","2019","Vivaltus Ribera del Duero","Spain, Castilla y León, Ribera del Duero","Vivaltus","Tempranillo Blend","2027","2040","93"
"4858606","White","White","Dry","750ml","1","2022","Wohlmuth Riesling Dr. Wunsch","Austria, Styria, Südsteiermark","Wohlmuth","Riesling","2026","2035","91"
"2167","White - Sweet/Dessert","White","Sweet/Dessert","750ml","1","1996","Château d'Yquem","France, Bordeaux, Sauternais, Sauternes","Château d'Yquem","Sémillon-Sauvignon Blanc Blend","2011","2046","94.3805774278215"
