"iWine","Type","Color","Category","Size","Quantity","Vintage","Wine","Locale","Producer","Varietal","BeginConsume","EndConsume","CScore"
"3848412","White","White","Dry","750ml","1","2019","Château de Chamirey Mercurey 1er Cru La Mission","France, Burgundy, Côte Chalonnaise, Mercurey 1er Cru","Château de Chamirey","Chardonnay","2023","2029","92"
"4215372","Red","Red","Dry","750ml","1","2020","Domaine Chandon de Briailles Savigny-lès-Beaune Aux Fournaux","France, Burgundy, Côte de Beaune, Savigny-lès-Beaune","Domaine Chandon de Briailles","Pinot Noir","2027","2060","89.3333333333333"
"5269778","Red","Red","Dry","750ml","2","2023","Domaine Chanson Beaune 1er Cru Bressandes","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Domaine Chanson","Pinot Noir","2030","2038",""
"3561216","Red","Red","Dry","750ml","1","2018","Domaine Chanson Beaune 1er Cru Bressandes","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Domaine Chanson","Pinot Noir","2025","2033","92"
"4922720","White","White","Dry","750ml","1","2022","Domaine Chanson Beaune 1er Cru Clos des Mouches Blanc","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Domaine Chanson","Chardonnay","2027","2034",""
"5236723","Red","Red","Dry","750ml","1","2023","Domaine Chanson Beaune 1er Cru Clos du Roi","France, Burgundy, Côte de Beaune, Beaune 1er Cru","Domaine Chanson","Pinot Noir","2029","2042","93"
"5236703","White","White","Dry","750ml","2","2023","Domaine Chanson Chassagne-Montrachet 1er Cru Les Chenevottes","France, Burgundy, Côte de Beaune, Chassagne-Montrachet 1er Cru","Domaine Chanson","Chardonnay","2027","2035","92.3333333333333"
"4857242","White","White","Dry","750ml","1","2022","Domaine Chanson Corton-Vergennes Blanc","France, Burgundy, Côte de Beaune, Corton Grand Cru","Domaine Chanson","Chardonnay","2029","2039",""
"4207411","White","White","Dry","750ml","1","2020","Domaine Chanson Corton-Vergennes Blanc","France, Burgundy, Côte de Beaune, Corton Grand Cru","Domaine Chanson","Chardonnay","2027","2037","92.5"
"5236699","White","White","Dry","750ml","2","2023","Domaine Chanson Pernand-Vergelesses 1er Cru En Caradeux Blanc","France, Burgundy, Côte de Beaune, Pernand-Vergelesses 1er Cru","Domaine Chanson","Chardonnay","2027","2033","92.5"
"4318308","Red","Red","Dry","750ml","3","2020","Chappellet Cabernet Sauvignon Signature","USA, California, Napa Valley","Chappellet","Cabernet Sauvignon","2024","2034","91.8"
"5242261","White","White","Dry","750ml","1","2023","François Chidaine Les Argiles","France, Loire Valley, Vin de France","François Chidaine","Chenin Blanc","2027","2035","92"
"4622187","White - Sparkling","White","Sparkling","750ml","1","2018","Gaston Chiquet Champagne Premier Cru Millésime Or","France, Champagne, Champagne Premier Cru","Gaston Chiquet","Champagne Blend","2023","2031","92.5"
"5087654","Red","Red","Dry","750ml","2","2022","Cirq Pinot Noir Russian River Valley","USA, California, Sonoma County, Russian River Valley","Cirq","Pinot Noir","2025","2033","93.6666666666667"
"4876921","Red","Red","Dry","750ml","1","2019","Claudia Ferrero Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Claudia Ferrero","Sangiovese","2026","2036","91"
"4505106","Rosé","Rosé","Dry","750ml","1","2021","Clos Cibonne Tibouren Côtes de Provence Cuvée Tradition Rosé Cru Classé","France, Provence, Côtes de Provence","Clos Cibonne","Tibouren","2023","2029","91.225"
"4481934","Red","Red","Dry","750ml","1","2021","Clos des Papes Châteauneuf-du-Pape","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Clos des Papes","Red Rhone Blend","2027","2043","93.75"
"145927","Red","Red","Dry","750ml","1","1996","Clos du Clocher","France, Bordeaux, Libournais, Pomerol","Clos du Clocher","Red Bordeaux Blend","2003","2016","83"
"5368451","Red","Red","Dry","750ml","1","2021","Clos Saint Sebastien Collioure Le Clos","France, Languedoc Roussillon, Roussillon, Collioure","Clos Saint Sebastien","Grenache Blend","2028","2033","89"
"867362","Red","Red","Dry","750ml","1","2009","Château Cos d'Estournel Les Pagodes de Cos","France, Bordeaux, Médoc, Saint-Estèphe","Château Cos d'Estournel","Red Bordeaux Blend","2017","2030","92.0507246376812"
"1369420","White - Sweet/Dessert","White","Sweet/Dessert","375ml","1","2011","Château Coutet Barsac","France, Bordeaux, Sauternais, Barsac","Château Coutet","Sémillon-Sauvignon Blanc Blend","2015","2040","92.3098591549296"
"4231560","Red","Red","Dry","750ml","1","2020","Domaine Yves Cuilleron Côte-Rôtie Coteaux de Bassenon","France, Rhône, Northern Rhône, Côte-Rôtie","Domaine Yves Cuilleron","Syrah","2026","2035","91.1666666666667"
"5054390","Red","Red","Dry","750ml","2","2022","DeLille Cellars D2","USA, Washington, Columbia Valley","DeLille Cellars","Red Bordeaux Blend","2026","2032","88.6538461538462"
"2716987","White - Sweet/Dessert","White","Sweet/Dessert","375ml","1","2015","Dolce Winery Late Harvest","USA, California, Napa Valley","Dolce Winery","Sémillon-Sauvignon Blanc Blend","2023","2031","93.45"
"4796320","Red","Red","Dry","750ml","1","2021","Double Diamond (Schrader) Proprietary Red","USA, California, Napa Valley, Oakville","Double Diamond (Schrader)","Red Blend","2025","2036","92.4705882352941"
"4538049","Red","Red","Dry","750ml","1","2021","David Duband Nuits-Saint-Georges","France, Burgundy, Côte de Nuits, Nuits-Saint-Georges","David Duband","Pinot Noir","2026","2033","89.7777777777778"
"2636003","Red","Red","Dry","750ml","1","2013","Edge Hill Abel 1833 Mt. Veeder","USA, California, Napa Valley, Mt. Veeder","Edge Hill","Cabernet Sauvignon","2020","2031","92.5"
"5618540","White - Sparkling","White","Sparkling","750ml","1","2020","Egly-Ouriet Champagne Grand Cru Extra Brut","France, Champagne, Champagne Grand Cru","Egly-Ouriet","Champagne Blend","2030","2037",""
"4051021","Red","Red","Dry","750ml","1","2017","El Enemigo Cabernet Franc Gran Enemigo Chacayes","Argentina, Mendoza, Valle de Uco, Chacayes","El Enemigo","Cabernet Franc","2024","2031","92.9655172413793"
"4168423","Red","Red","Dry","750ml","1","2020","Faiveley Gevrey-Chambertin Vieilles Vignes","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","Faiveley","Pinot Noir","2024","2032","90.6363636363636"
"5319865","Red","Red","Dry","750ml","1","2015","Faustini Secret Veil","USA, California, Napa Valley","Faustini","Cabernet Sauvignon","2025","2033","92.75"
"4052079","Red","Red","Dry","750ml","1","2019","Domaine Jean Féry & fils Vosne-Romanée Aux Réas","France, Burgundy, Côte de Nuits, Vosne-Romanée","Domaine Jean Féry & fils","Pinot Noir","2024","2031","92"
"5245644","White","White","Dry","750ml","1","2023","Domaine Fontaine-Gagnard Chassagne-Montrachet","France, Burgundy, Côte de Beaune, Chassagne-Montrachet","Domaine Fontaine-Gagnard","Chardonnay","2026","2032","90.7142857142857"
"3746757","Red","Red","Dry","750ml","1","2015","La Fortuna Brunello di Montalcino Riserva","Italy, Tuscany, Montalcino, Brunello di Montalcino","La Fortuna","Sangiovese","2023","2041","91.7272727272727"
"4577093","Red","Red","Dry","750ml","1","2019","Fortunate Son The Diplomat","USA, California, Napa Valley","Fortunate Son","Cabernet Sauvignon","2025","2035","93.6428571428571"
"5875341","Rosé","Rosé","Dry","750ml","1","2024","Weingut Frank Rosé Herrnbaumgarten","Austria, Wien","Weingut Frank","Rosé Blend","9999","9999",""
"4255691","Red","Red","Dry","750ml","1","2018","Fratelli Degani Amarone della Valpolicella Classico","Italy, Veneto, Valpolicella, Amarone della Valpolicella Classico","Fratelli Degani","Corvina Blend","2024","2031","89"
"4679228","Red","Red","Dry","750ml","1","2019","Elena Fucci Aglianico del Vulture Superiore Titolo Riserva","Italy, Basilicata, Aglianico del Vulture Superiore","Elena Fucci","Aglianico","2028","2040","92.6666666666667"
"4095528","Red","Red","Dry","750ml","1","2017","G. Poggi Amarone della Valpolicella Classico Corte dei Castaldi","Italy, Veneto, Valpolicella, Amarone della Valpolicella Classico","G. Poggi","Corvina Blend","2022","2028","89"
"5734247","White - Sparkling","White","Sparkling","750ml","1","2021","Genevieve Chardonnay Blanc de Blancs Brut Cap Classique","South Africa, Cape South Coast, Overberg","Genevieve","Chardonnay","2026","2027","90"
"4720873","White - Sparkling","White","Sparkling","750ml","1","2016","Pierre Gimonnet & Fils Champagne Special Club Grands Terroirs de Chardonnay","France, Champagne","Pierre Gimonnet & Fils","Chardonnay","2024","2037","92.6486486486486"
"3763188","Red","Red","Dry","750ml","1","2017","Giulia Negri Barolo La Tartufaia","Italy, Piedmont, Langhe, Barolo","Giulia Negri","Nebbiolo","2024","2036","90.5"
"4729389","Red","Red","Dry","750ml","3","2018","Giuliano Rosati Amarone della Valpolicella","Italy, Veneto, Valpolicella, Amarone della Valpolicella","Giuliano Rosati","Corvina Blend","2024","2031",""
"3280957","Red","Red","Dry","750ml","4","2018","Gracia","France, Bordeaux, Libournais, Saint-Émilion Grand Cru","Gracia","Red Bordeaux Blend","2026","2041","91.1875"
"4112510","Red","Red","Dry","750ml","2","2020","Bibi Graetz Testamatta Toscana IGT","Italy, Tuscany, Toscana IGT","Bibi Graetz","Sangiovese","2024","2038","91.2741935483871"
"3970988","Red","Red","Dry","750ml","1","2020","Château Grand-Puy-Lacoste","France, Bordeaux, Médoc, Pauillac","Château Grand-Puy-Lacoste","Red Bordeaux Blend","2028","2046","93.2105263157895"
"4894159","Red","Red","Dry","750ml","1","2022","Jean-Michel Guillon Gevrey-Chambertin 1er Cru Champonnets","France, Burgundy, Côte de Nuits, Gevrey-Chambertin 1er Cru","Jean-Michel Guillon","Pinot Noir","2029","2038","93.5"
"3902799","Red","Red","Dry","750ml","2","2019","Jean-Michel Guillon Gevrey-Chambertin Cuvée Père Galland","France, Burgundy, Côte de Nuits, Gevrey-Chambertin","Jean-Michel Guillon","Pinot Noir","2024","2033","91.6"
"3279091","Red","Red","Dry","750ml","1","2018","Château Haut-Brion Le Clarence de Haut-Brion","France, Bordeaux, Graves, Pessac-Léognan","Château Haut-Brion","Red Bordeaux Blend","2022","2037","92.5"
"1599794","Red","Red","Dry","750ml","1","2011","Hospices de Beaune Corton-Cuvée Docteur Peste Bouchard Père et Fils","France, Burgundy, Côte de Beaune, Corton Grand Cru","Hospices de Beaune","Pinot Noir","2017","2024",""
"34911","White - Sweet/Dessert","White","Sweet/Dessert","750ml","1","1989","Domaine Huet Vouvray Cuvée Constance","France, Loire Valley, Touraine, Vouvray","Domaine Huet","Chenin Blanc","2007","2075","95.8"
"3984534","White - Sweet/Dessert","White","Sweet/Dessert","750ml","2","2020","Domaine Huet Vouvray Moelleux Le Mont","France, Loire Valley, Touraine, Vouvray","Domaine Huet","Chenin Blanc","2030","2100","91.8"
"2103406","White","White","Dry","750ml","1","2014","Domaine Huet Vouvray Sec Clos du Bourg","France, Loire Valley, Touraine, Vouvray","Domaine Huet","Chenin Blanc","2017","2045","92.2307692307692"
"4354859","White","White","Dry","750ml","1","2021","Domaine Huet Vouvray Sec Le Haut-Lieu","France, Loire Valley, Touraine, Vouvray","Domaine Huet","Chenin Blanc","2022","2070","91.2564102564103"
"4618642","Red","Red","Dry","750ml","2","2020","Isole e Olena Cepparello Toscana IGT","Italy, Tuscany, Toscana IGT","Isole e Olena","Sangiovese","2027","2041","93.1"
"4639292","Red","Red","Dry","750ml","2","2022","Château d'Issan","France, Bordeaux, Médoc, Margaux","Château d'Issan","Red Bordeaux Blend","2029","2049","93.6176470588235"
"4217174","Red","Red","Dry","750ml","1","2020","Paul Jaboulet Aîné Hermitage La Chapelle","France, Rhône, Northern Rhône, Hermitage","Paul Jaboulet Aîné","Syrah","2027","2043","93.5"
"4494975","White","White","Dry","750ml","1","2021","Domaine de la Janasse Châteauneuf-du-Pape Blanc","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Domaine de la Janasse","White Rhone Blend","2024","2031","90.5"
"4252286","Red","Red","Dry","750ml","3","2020","Domaine de la Janasse Châteauneuf-du-Pape Vieilles Vignes","France, Rhône, Southern Rhône, Châteauneuf-du-Pape","Domaine de la Janasse","Red Rhone Blend","2025","2041","93.8518518518518"
"4919220","White","White","Dry","750ml","1","2023","Weingut Keller Riesling von der Fels","Germany, Rheinhessen","Weingut Keller","Riesling","2026","2035","90.7777777777778"
"4759419","Red","Red","Dry","750ml","2","2022","Kelley Fox Wines Pinot Noir Maresh Vineyard Golden-Crowned Sparrow Blocks","USA, Oregon, Willamette Valley, Dundee Hills","Kelley Fox Wines","Pinot Noir","2033","2080","91.6153846153846"
"5320409","White","White","Dry","750ml","1","2022","Kvaszinger Furmint Tokaji Hatalos D&#369;l&#337;","Hungary, Tokaji","Kvaszinger","Furmint","9999","9999",""
"4784929","White - Sweet/Dessert","White","Sweet/Dessert","750ml","2","2019","Kvaszinger Tokaji Szamorodni Édes Sweet","Hungary, Tokaji","Kvaszinger","Furmint","2024","2030","91"
"3989681","Red","Red","Dry","375ml","1","2020","Château Lafite Rothschild Carruades de Lafite","France, Bordeaux, Médoc, Pauillac","Château Lafite Rothschild","Red Bordeaux Blend","2038","2040","94.7777777777778"
"4809513","White","White","Dry","750ml","1","2022","Lamblin & Fils Chablis Grand Cru Les Clos","France, Burgundy, Chablis, Chablis Grand Cru","Lamblin & Fils","Chardonnay","2025","2037","90"
"1647961","White - Sparkling","White","Sparkling","750ml","1","1001","Larmandier-Bernier Longitude","France, Champagne, Champagne Premier Cru","Larmandier-Bernier","Chardonnay","2026","2045","91.0406504065041"
"4676164","Red","Red","Dry","750ml","1","2019","Louis Latour Corton-Perrières","France, Burgundy, Côte de Beaune, Corton Grand Cru","Louis Latour","Pinot Noir","2028","2040","94"
"356835","Red","Red","Dry","750ml","1","2006","Château Léoville Las Cases","France, Bordeaux, Médoc, Saint-Julien","Château Léoville Las Cases","Red Bordeaux Blend","2019","2036","93.1353383458647"
"4312870","Red","Red","Dry","750ml","1","2021","Château Léoville Poyferré","France, Bordeaux, Médoc, Saint-Julien","Château Léoville Poyferré","Red Bordeaux Blend","2029","2049","92.56"
"4348316","White","White","Dry","750ml","1","2014","R. López de Heredia Rioja Blanco Reserva Viña Tondonia","Spain, La Rioja, La Rioja Alta, Rioja","R. López de Heredia","White Blend","2027","2047","94.2380952380952"
"4883177","White","White","Dry","750ml","1","2013","R. López de Heredia Rioja Blanco Reserva Viña Tondonia","Spain, La Rioja, La Rioja Alta, Rioja","R. López de Heredia","White Blend","2026","2038","93.3793103448276"
